"Ref_N","Reference"
145,"Ryan, M. J. and Poe, S. (2014). Seasonal shifts in relative density of the lizard Anolis polylepis (Squamata, Dactyloidae) in forest and riparian habitats."
146,"Gorman, G. C., & Harwood, R. (1977). Notes on population density, vagility, and activity patterns of the Puerto Rican grass lizard, Anolis pulchellus (Reptilia, Lacertilia, Iguanidae). Journal of Herpetology 11(3): 363-368"
147,"Kustra, M. C., Kahrl, A. F., Reedy, A. M., Warner, D. A., & Cox, R. M. (2019). Sperm morphology and count vary with fine-scale changes in local density in a wild lizard population. Oecologia, 1-10."
148,"Henle, K. (1990). Population ecology and life history of three terrestrial geckos in arid Australia. Copeia, 759-781."
149,"Towns, D.R. & Elliott, G.P. (1996). Effects of Habitat Structure on Distribution and Abundance of Lizards At Pukerua Ba , Wellington, New Zealand. N. Z. J. Ecol., 20, 191–206."
150,"Bessesen, B. L., Oedekoven, C. S., Galbreath, G. J., & González-Suárez, M. (2022). Population abundance and density estimates for Costa Rica’s endemic sea snake, Hydrophis platurus xanthos. Frontiers in Marine Science, 1123."
151,"Parker, W.S. (1972). Aspects of the ecology of a Sonoran Desert population of the western gecko, Coleonyx variegatus (Sauria, Eublepharinae). Am. Midl. Nat., 88, 209–224."
152,"陶星宇.(2021).海南睑虎（Goniurosaurus hainanensis）种群生态学研究(硕士学位论文,海南师范大学)."
153,"Rodda, G.H. & Dean-Bradley, K. (2010). Inventory of the reptiles of the War in the Pacific National Historical Park, Guam. University of Hawai‘i at Mānoa, Department of Botany. Honolulu, HI."
154,"Henle, K. (1990). Population ecology and life history of the arboreal gecko Gehyra variegata in arid Australia. Herpetological Monographs, 30-60."
155,"Cahyani, N. K. D., Widiastuti, K. A., Fauzan, M. F., Zakky, Q., Hartono, I. H., Ramadhan, D. B. N., Riyanto, A., Hamidy, A. (2023). Population Study of Tokay Gecko (Gekko gecko) in Bali Province, Indonesia (Studi Populasi Tokek Rumah (Gekko gecko) di Provinsi Bali, Indonesia). Jurnal Biologi Indonesia, 19(2), 125-133."
156,"Yashmita-Ulman, Singh, M. (2021). Density, habitat associations and conservation status of Gekko gecko (Tokay gecko) in human-dominated landscapes around Nameri Tiger Reserve, Assam, India. Acta Ecologica Sinica, 42(3): 188-197"
157,"Almeida-Gomes, M., Vrcibradic, D., Siqueira, C. C., Kiefer, M. C., Klaion, T., Almeida-Santos, P., Nascimento, D., Ariani, C. V., Borges-Junior, V. N., Freitas-Filho, R. F., van Sluys, M. and Rocha, C. F. (2008) Herpetofauna of an Atlantic rainforest area (Morro Sao Joao) in Rio de Janeiro State, Brazil. Anais da Academia Brasileira de Ciencias, 80, 291-300."
158,"Sakai, O. (2019). Population Density of a Clonal Gecko Species in Its Northernmost Range, the Ryukyus in Japan. Current Herpetology, 38(2), 180-186."
159,"Valakos, E. & Mylonas, M. (1992). Distribution and ecological aspects of the herpetofauna of Strofadhes Islands (Ionian Archipelago, Greece). Herpetozoa, 5, 33–39."
160,"Ibrahim, A.A. (2001). The reptile community of the Zaranik Protected Area, North Sinai, Egypt with special reference to their ecology and conservation. Egypt. J. Nat. Hist., 3, 81–92."
161,"Bentz, E.J., Rodríguez, M.J.R., John, R.R., Henderson, R.W. & Robert, P. (2011). Population densities, activity, microhabitats, and hermal biology of a unique crevice- and litter-dwelling assemblage of reptiles on Union Island, St. Vincent and the Grenadines. Herpetol. Conserv. Biol., 6, 40–50."
162,"Morrison, S.E., Biciloa, P., Harlow, P.S. & Keogh, J.S. (2013). Spatial Ecology of the Critically Endangered Fijian Crested Iguana, Brachylophus vitiensis, in an Extremely Dense Population: Implications for Conservation. PLoS One, 8, e73127."
163,"Snell, H. L., & Christian, K. A. (1985). Energetics of Galápagos land iguanas: a comparison of two island populations. Herpetologica, 437-442."
164,"Ortiz-Catedral, L., Kumar, K., Llerena, A. J., Jie, C. H. Z., Sollis, H., Ramirez, J., Gavilanes, M., Chimborazo, W., Guerrero, B., Sevilla, C., Rueda, D. (2023). Life on the volcano: population size of the Galápagos Land Iguana Conolophus subcristatus (Gray, 1831) on Fernandina Island, Galápagos, Ecuador. Herpetology Notes, 16, 41-47."
165,"Gutsche, A., & Streich, W. J. (2009). Demography and endangerment of the Utila Island Spiny-tailed Iguana, Ctenosaura bakeri. Journal of Herpetology, 43(1), 105-113."
166,"Coti, P. and Ariano-Sanchez, D. (2008). Ecology and traditional use of the Guatemalan black iguana (Ctenosaura palearis) in the dry forests of the Motagua Valley, Guatemala. Iguana, 15, 142-149."
167,"Pérez-Buitrago, N., Sabat, A. M., & McMillan, W. O. (2010). Spatial Ecology of the Endangered Mona Island Iguana Cyclura cornuta stejnegeri: Does Territorial Behavior Regulate Density?. Herpetological Monographs 24(1): 86-110."
168,"Beovides–Casas, K. & Mancina, C. A., (2006). Natural history and morphometry of the Cuban iguana (Cyclura nubila Gray, 1831) in Cayo Sijú, Cuba. Animal Biodiversity and Conservation, 29.1: 1–8."
169,"Goodyear, N.C. & Lazell, J. (1994). Status of a relocated population of endangered Iguana pinguis on Guan Island, British Virgin Islands. Restor. Ecol., 2, 43–50."
170,"Mitchell, N. C. (1999). Effect of introduced ungulates on density, dietary preferences, home range, and physical condition of the iguana (Cyclura pinguis) on Anegada. Herpetologica, 55(1), 7-17"
171,"Arias, Y., Incháustegui, S.J. & Rupp, E. (2005). preliminary report on Cyclura ricordii on the Barahona Peninsula. Santo Domingo, Dominican Republic."
172,"Alberts, A. C. (1993). Relationship of space use to population density in an herbivorous lizard. Herpetologica, 469-479."
173,"Lorvelec, O., Pascal, M., Pavis, C. & Feldmann, P. (2007). Amphibians and reptiles of the French West Indies: Inventory, threats and conservation. Appl. Herpetol., 4, 131–161."
174,"Kwiatkowski, M. A., & Sullivan, B. K. (2002). Mating system structure and population density in a polygynous lizard, Sauromalus obesus (= ater). Behavioral Ecology, 13(2), 201-208."
175,"Capula, Luiselli, Filippi & Ceccarelli. (2002). Habitat characteristics and demography of high‐altitude populations of the lacertid lizard, Algyroides fitzingeri, Italian Journal of Zoology, 69:1, 33-36"
176,"Rubio, J.L. & Carrascal, L.M. (1994). Habitat selection and conservation of an endemic Spanish lizard Algyroides marchi (Reptilia, Lacertidae). Biol. Conserv., 70, 245–250."
177,"Valakos, E. & Vlachopanos, A. (1989). Note on the ecology of Cyrtodactylus kotschyi (Reptilia - Gekkonidae) in an insular ecosystem of the Aegean. Biol. Gall. 15, 179-184."
178,"Bombi & Vignoli. (2004) Distribution, ecology and conservation of Archaeolacerta bedriagae in Sardinia (Reptilia, Lacertidae), Italian Journal of Zoology, 71:S2, 135-144"
179,"Busack. (1987). Notes on the biology of Lacerta andreanszkyi (Reptilia: Lacertidae). Amphibia-Reptilia 8: 231-236"
180,"Lizana-Ciudad, D., Colino-Rabanal, V. J., Arribas, O. J., & Lizana, M. (2021). Connectivity predicts presence but not population density in the habitat-specific Mountain Lizard Iberolacerta martinezricai. Sustainability, 13(5), 2647."
181,"Martín, J., & Salvador, A. (1997). Microhabitat selection by the Iberian rock lizard Lacerta monticola: effects on density and spatial distribution of individuals. Biological Conservation, 79(2), 303-307."
182,"Strijbosch, H. & Creemers, R.C.M. (1988). Comparative population demography of sympatric populations of Lacerta vivipara and Lacerta agilis. Oecologia, 76, 20–26."
183,"Rugiero, L., Capula, M., Di Vittorio, M., Dendi, D., Meek, R., & Luiselli, L. (2021). Ontogenetic Habitat Use and Density of the Green Lizard (Lacerta bilineata) in Contrasted Landscapes in France and Italy. Conservation, 1(1), 1-16."
184,"Maura, M., Vignoli, L., Bologna, M. a., Rugiero, L. & Luiselli, L. (2011). Population density of syntopic, differently sized lizards in three fragmented woodlands from Mediterranean Central Italy. Community Ecol., 12, 249–258."
185,"Prieto‐Ramírez, A. M. (2023). Effects of landscape structure and patch characteristics on the density of central populations of the eastern green lizard Lacerta viridis. Ecology and Evolution, 13(8), e10419."
186,"Galan, P. (1999). Demography and population dynamics of the lacertid lizard Podarcis bocagei in north-west Spain. J. Zool., 249, 203–218."
187,"Pafilis, P., Meiri, S., Foufopoulos, J. & Valakos, E. (2009). Intraspecific competition and high food availability are associated with insular gigantism in a lizard. Naturwissenschaften, 96, 1107–13."
188,"Pérez-Mellado V. et al. (2008). Population density in Podarcis lilfordi (Squamata, Lacertidae), a lizard species endemic to small islets in the Balearic Islands (Spain). Amphibia-Reptilia 29, 49-60."
189,"de Infante Anton, J.R., Rotger, A., Igual, J.M., Tavecchia, G., (2013). Estimating lizard population density: an empirical comparison between line-transect and capture-recapture methods. Wildlife Research 40, 552-560."
190,"Pérez-Mellado, V. (1989). Estudio ecológico de la lagartija balear Podarcis lilfordi (Günther, 1874) en Menorca. Revista de Menorca, 80, 455-511."
191,"Vogrin N. 1998. Population parameters of syntopic populations of three species of podarcis in the slovenian istra (Reptilia, Lacertidae). Gortania 20: 225-232"
192,"Barbault & Mou. (1988). Population dynamics of the common wall lizard, Podarcis muralis, in southwestern France. Herpetologica 44: 38-47"
193,"Rosa, G., Salvidio, S., Trombini, E., & Costa, A. (2022). Estimating density of terrestrial reptiles in forest habitats: The importance of considering availability in distance sampling protocols. Trees, Forests and People, 7, 100184."
194,"Ficetola, G. F., Barzaghi, B., Melotto, A., Muraro, M., Lunghi, E., Canedoli, C., ... & Carretero, M. A. (2018). N-mixture models reliably estimate the abundance of small vertebrates. Scientific reports, 8(1), 10357."
195,"Capula, M., Lo Cascio, P. (2011): Podarcis raffonei (Mertens, 1952). In: Fauna d'Italia, Reptilia, p. 401-407. Corti, C., Capula, M., Luiselli, L., Razzetti, E., Sindaco, R., Eds. Edizioni Calderini de Il Sole 24 ORE, Bologna."
196,"Lo Cascio, P., Grita, F., Guarino, L., Speciale, C., (2014). A little is better than none: new insights into the natural history of the Aeolian wall lizard Podarcis raffonei from La Canna stack (Squamata Sauria). Naturalista siciliano, ser. 4 38, 355-366."
197,"Capula, M., Luiselli, L., Bologna, M.A., Ceccarelli, A. (2002): The decline of the Aeolian wall lizard, Podarcis raffonei: causes and conservation proposals. Oryx, 36: 66-72."
198,"Cascio, P. L. (2006). Aspetti ecologici e problemi di conservazione di una popolazione di Podarcis raffonei (Mertens, 1952)(Reptilia Lacertidae). Naturalista siciliano, 30(3/4), 495."
199,"Raia, P., Guarino, F. M., Turano, M., Polese, G., Rippa, D., Carotenuto, F., Monti, D. M., Cardi, M., Fulgione, D. (2010). The blue lizard spandrel and the island syndrome. BMC Evolutionary Biology, 10(1), 289."
200,"Ioannidis, Y. & Bousbouras, D. (1997). The space utilization by the reptiles in Prespa National Park. Hydrobiologia, 351, 135–142."
201,"Chondropoulos, B. P., & Lykakis, J. J. (1983). Ecology of the Balkan wall lizard, Podarcis taurica ionica (Sauria: Lacertidae) from Greece. Copeia, 991-1001."
202,"Arbuckle, K., & Arbuckle, A.J.N. (2023). The Madeira lizard Teira dugesii may have the greatest population density of any terrestrial vertebrate. Herpetological Bulletin, 163, 24-27."
203,"Doré, F., Grillet, P., Thirion, J. M., Besnard, A., & Cheylan, M. (2011). Implementation of a long-term monitoring program of the ocellated lizard (Timon lepidus) population on Oleron Island. Amphibia-Reptilia, 32(2), 159-166."
204,"Cornetti, L., Belluardo, F., Ghielmi, S., Giovine, G., Ficetola, G.F., Bertorelle, G., Vernesi, C., Hauffe, H.C., 2015. Reproductive isolation between oviparous and viviparous lineages of Zootoca vivipara in a contact zone. Biological Journal of the Linnean Society 114, 566-573."
205,"Robles, C. & Halloy, M. (2008). Seven-year relative abundance in two sintopic neotropical lizards, Liolaemus quilmes y L. ramirezae (Liolaemidae), from nortwestern Argentina. Cuad. Herpetol., 22, 73–80."
206,"Martori, R., Cardinale, L., & Vignolo, P. (1998). Growth in a population of Liolaemus wiegmannii (Squamata: Tropiduridae) in Central Argentina. Amphibia-Reptilia, 19(3), 293-301."
207,"Germaine, S.S. & Wakeling, B.F. (2001). Lizard species distributions and habitat occupation along an urban gradient in Tucson, Arizona, USA. Biol. Conserv., 97, 229–237."
208,"Howland, J. (1992). Life history of Cophosaurus texanus (Sauria: Iguanidae): environmental correlates and interpopulational variation. Copeia, 1992, 82–93."
209,"Jones, S.M. & Ballinger, R.E. (1987). Comparative Life Histories of Holbrookia Maculata and Sceloporus Undulatus in Western Nebraska. Ecology, 68, 1828–1838."
210,"Gerson, M.M. (2011). Population status and habitat affinities of the Blainville’s Horned Lizard (Phrynosoma blainvillii) at a site in the Northern San Joaquin Valley, California, USA. Herpetol. Conserv. Biol., 6, 228–236."
211,"Vesy, M. N., Watters, J. L., Moody, R. W., Schauber, E. M., Mook, J. M., & Siler, C. D. (2021). Survivorship and spatial patterns of an urban population of Texas horned lizards. The Journal of Wildlife Management, 85(6), 1267-1279."
212,"Tanner, W.W. & Krogh, J.E. (1973). Ecology of Phrynosoma platyrhinos at the Nevada Test Site, Nye County, Nevada. Herpe, 29, 327–342."
213,"Smolensky & Fitzgerald. (2010). Distance Sampling Underestimates Population Densities of Dune-Dwelling Lizards. Journal of Herpetology 44(3): 372–381"
214,"Ballinger, R. E., & Congdon, J. D. (1981). Population ecology and life history strategy of a montane lizard (Sceloporus scalaris) in southeastern Arizona. Journal of Natural History, 15(2), 213-222."
215,"Rodríguez-Romero F. et al. (2011). Demography of a Semelparous, high-elevation population of Sceloporus bicanthalis (Lacertilia: Phrynosomatidae) from the Nevado de Toluca Volcano, Mexico. Southwest. Nat., 56, 71–77."
216,"Tinkle, D.W. & Dunham, A.E. (1986). Comparative Life Histories of Two Syntopic Sceloporine Lizards. Copeia, 1986, 1–18."
217,"Guyer, C. & Linder, A.D. (1985). Thermal ecology and activity patterns of the shorthorned lizard (Phrynosoma douglassi) and the sagebrush lizard (Sceloporus graciosus) in southeastern Idaho. Herpetology, 45, 607–614."
218,"Lemos-espinal, J.A., Ballinger, R.E. & Smith, G.R. (1998). Comparative demography of the high-altitude lizard, Sceloporus grammicus (Phrynosomatidae), on the Iztaccihuatl Volcano, Puebla, México. Gt. Basin Nat., 58, 375–379."
219,"Dunham, A.E. (1980). An Experimental Study of Interspecific Competition Between the Iguanid Lizards Sceloporus Merriami and Urosaurus Ornatus. Ecol. Monogr., 50, 309–330."
220,"Tanner, W.W. & Hopkin, J.M. (1972). Ecology of Sceloporus occidentalis longipes Baird and Uta stansburiana stansburiana Baird and Girard on Rainier Mesa, Nevada Test Site, Nye County, Nevada. Brigham Young Univ. Sci. Bull. Biol. Ser., 15, 1–39."
221,"Vinegar, M.B. (1975). Demography of the Striped Plateau Lizard, Sceloporus Virgatus. Ecology, 56, 172–182."
